Probe Set ID	Gene Symbol	Gene Title	Gene ID
ENSMUSG00000012114	MED15	mediator complex subunit 15	51586
ENSMUSG00000031787	KATNB1	katanin regulatory subunit B1	10300
ENSMUSG00000047977	ERVFRD-1	endogenous retrovirus group FRD member 1, envelope	405754
ENSMUSG00000036273	LRRK2	leucine rich repeat kinase 2	120892
ENSMUSG00000090066	AC083902.2		285556
ENSMUSG00000030766	ARHGAP17	Rho GTPase activating protein 17	55114
ENSMUSG00000042520	UBAP2L	ubiquitin associated protein 2 like	9898
ENSMUSG00000032320	RCN2	reticulocalbin 2	5955
ENSMUSG00000030050	GKN1	gastrokine 1	56287
ENSMUSG00000047161	CHST9	carbohydrate sulfotransferase 9	83539
ENSMUSG00000045248	MED26	mediator complex subunit 26	9441
ENSMUSG00000001472	TCF25	transcription factor 25	22980
ENSMUSG00000027835	PDCD10	programmed cell death 10	11235
ENSMUSG00000039092	SPTLC3	serine palmitoyltransferase long chain base subunit 3	55304
ENSMUSG00000029675	ELN	elastin	2006
ENSMUSG00000021945	ZMYM2	zinc finger MYM-type containing 2	7750
ENSMUSG00000070377	OR1A2	olfactory receptor family 1 subfamily A member 2	26189
ENSMUSG00000043587	PXYLP1	2-phosphoxylose phosphatase 1	92370
ENSMUSG00000075267	DFNB59	deafness, autosomal recessive 59	494513
ENSMUSG00000028085	GATB	glutamyl-tRNA amidotransferase subunit B	5188
ENSMUSG00000026127	IMP4	IMP4 homolog, U3 small nucleolar ribonucleoprotein	92856
ENSMUSG00000050796	B3GALT6	beta-1,3-galactosyltransferase 6	126792
ENSMUSG00000078612	C1orf168	chromosome 1 open reading frame 168	199920
ENSMUSG00000027712	ANXA5	annexin A5	308
ENSMUSG00000005899	SMPD4	sphingomyelin phosphodiesterase 4	55627
ENSMUSG00000023165	SSX7	SSX family member 7	280658
ENSMUSG00000039660	SPOUT1	SPOUT domain containing methyltransferase 1	51490
ENSMUSG00000055782	ABCD2	ATP binding cassette subfamily D member 2	225
ENSMUSG00000057667	AC005779.2		na
ENSMUSG00000026207	SPEG	SPEG complex locus	10290
ENSMUSG00000014959	GORASP2	golgi reassembly stacking protein 2	26003
ENSMUSG00000026223	ITM2C	integral membrane protein 2C	81618
ENSMUSG00000034663	BMP2K	BMP2 inducible kinase	55589
ENSMUSG00000055639	DACH1	dachshund family transcription factor 1	1602
ENSMUSG00000071561	CSTA	cystatin A	1475
ENSMUSG00000001211	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	56894
ENSMUSG00000026825	DNM1	dynamin 1	1759
ENSMUSG00000020709	ADAP2	ArfGAP with dual PH domains 2	55803
ENSMUSG00000053747	SOX14	SRY-box 14	8403
ENSMUSG00000053774	UBXN7	UBX domain protein 7	26043
ENSMUSG00000030465	PSD3	pleckstrin and Sec7 domain containing 3	23362
ENSMUSG00000028684	UROD	uroporphyrinogen decarboxylase	7389
ENSMUSG00000025207	SEMA4G	semaphorin 4G	57715
ENSMUSG00000069816	OR1E1	olfactory receptor family 1 subfamily E member 1	8387
ENSMUSG00000025075	HABP2	hyaluronan binding protein 2	3026
ENSMUSG00000025551	FGF14	fibroblast growth factor 14	2259
ENSMUSG00000066240	OR10A3	olfactory receptor family 10 subfamily A member 3	26496
ENSMUSG00000035852	MISP	mitotic spindle positioning	126353
ENSMUSG00000026922	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	10555
ENSMUSG00000040296	DDX58	DExD/H-box helicase 58	23586
ENSMUSG00000036572	UPF3B	UPF3 regulator of nonsense transcripts homolog B (yeast)	65109
ENSMUSG00000049577	ZFPM1	zinc finger protein, FOG family member 1	161882
ENSMUSG00000022263	TRIO	trio Rho guanine nucleotide exchange factor	7204
ENSMUSG00000040158	TAX1BP3	Tax1 binding protein 3	30851
ENSMUSG00000032512	WDR48	WD repeat domain 48	57599
ENSMUSG00000043164	TMEM212	transmembrane protein 212	389177
ENSMUSG00000005628	TMOD4	tropomodulin 4	29765
ENSMUSG00000015533	ITGA2	integrin subunit alpha 2	3673
ENSMUSG00000020843	TIMM22	translocase of inner mitochondrial membrane 22	29928
ENSMUSG00000024056	NDC80	NDC80, kinetochore complex component	10403
ENSMUSG00000054272	ZSCAN4	zinc finger and SCAN domain containing 4	201516
ENSMUSG00000028412	SLC44A1	solute carrier family 44 member 1	23446
ENSMUSG00000028784	SPOCD1	SPOC domain containing 1	90853
ENSMUSG00000079547	HLA-DMB	major histocompatibility complex, class II, DM beta	3109
ENSMUSG00000042111	CCDC115	coiled-coil domain containing 115	84317
ENSMUSG00000010755	CARS	cysteinyl-tRNA synthetase	833
ENSMUSG00000029247	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	10606
ENSMUSG00000022906	PARP9	poly(ADP-ribose) polymerase family member 9	83666
ENSMUSG00000002379	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	126328
ENSMUSG00000042256	PTCHD4	patched domain containing 4	442213
ENSMUSG00000040322	SLC25A24	solute carrier family 25 member 24	29957
ENSMUSG00000068240	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	7311
ENSMUSG00000034998	FOXN2	forkhead box N2	3344
ENSMUSG00000039145	CAMK1D	calcium/calmodulin dependent protein kinase ID	57118
ENSMUSG00000032940	RBM11	RNA binding motif protein 11	54033
ENSMUSG00000054400	CKLF	chemokine like factor	51192
ENSMUSG00000018566	SLC2A4	solute carrier family 2 member 4	6517
ENSMUSG00000053754	CHD8	chromodomain helicase DNA binding protein 8	57680
ENSMUSG00000074766	ISM1	isthmin 1	140862
ENSMUSG00000028124	GCLM	glutamate-cysteine ligase modifier subunit	2730
ENSMUSG00000002897	IL17RA	interleukin 17 receptor A	23765
ENSMUSG00000098773	ERVFRD-1	endogenous retrovirus group FRD member 1, envelope	405754
ENSMUSG00000046733	GPRC5A	G protein-coupled receptor class C group 5 member A	9052
ENSMUSG00000021846	PELI2	pellino E3 ubiquitin protein ligase family member 2	57161
ENSMUSG00000035266	HELQ	helicase, POLQ-like	113510
ENSMUSG00000036816	ATOH7	atonal bHLH transcription factor 7	220202
ENSMUSG00000021259	CYP46A1	cytochrome P450 family 46 subfamily A member 1	10858
ENSMUSG00000068392	RNASE13	ribonuclease A family member 13 (inactive)	440163
ENSMUSG00000026820	PTGES2	prostaglandin E synthase 2	80142
ENSMUSG00000027695	PLD1	phospholipase D1	5337
ENSMUSG00000036401	GLT6D1	glycosyltransferase 6 domain containing 1	360203
ENSMUSG00000027087	ITGAV	integrin subunit alpha V	3685
ENSMUSG00000028411	APTX	aprataxin	54840
ENSMUSG00000040383	AQR	aquarius intron-binding spliceosomal factor	9716
ENSMUSG00000091512	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	8649
ENSMUSG00000030557	MEF2A	myocyte enhancer factor 2A	4205
ENSMUSG00000030203	DUSP16	dual specificity phosphatase 16	80824
ENSMUSG00000016382	PLS3	plastin 3	5358
ENSMUSG00000092077	OR12D1	olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	na
ENSMUSG00000047343	METTL21C	methyltransferase like 21C	196541
ENSMUSG00000007739	CCT4	chaperonin containing TCP1 subunit 4	10575
ENSMUSG00000068696	GPR88	G protein-coupled receptor 88	54112
ENSMUSG00000091938	CCL19	C-C motif chemokine ligand 19	6363
ENSMUSG00000100622	HMGN4	high mobility group nucleosomal binding domain 4	10473
ENSMUSG00000055660	METTL4	methyltransferase like 4	64863
ENSMUSG00000001119	COL6A1	collagen type VI alpha 1 chain	1291
ENSMUSG00000031620	AC093893.1		285423
ENSMUSG00000002983	RELB	RELB proto-oncogene, NF-kB subunit	5971
ENSMUSG00000078722	FAM205A	family with sequence similarity 205 member A	259308
ENSMUSG00000052363	ZDHHC19	zinc finger DHHC-type containing 19	131540
ENSMUSG00000035699	SLC51A	solute carrier family 51 alpha subunit	200931
ENSMUSG00000027495	FAM210B	family with sequence similarity 210 member B	116151
ENSMUSG00000037649	HLA-DMA	major histocompatibility complex, class II, DM alpha	3108
ENSMUSG00000074764	SEL1L2	SEL1L2 ERAD E3 ligase adaptor subunit	80343
ENSMUSG00000026940	CCDC183	coiled-coil domain containing 183	84960
ENSMUSG00000031443	F7	coagulation factor VII	2155
ENSMUSG00000040432	LTB4R2	leukotriene B4 receptor 2	56413
ENSMUSG00000020427	IGFBP3	insulin like growth factor binding protein 3	3486
ENSMUSG00000026837	COL5A1	collagen type V alpha 1 chain	1289
ENSMUSG00000002728	NAA20	N(alpha)-acetyltransferase 20, NatB catalytic subunit	51126
ENSMUSG00000052707	TNRC6A	trinucleotide repeat containing 6A	27327
ENSMUSG00000050377	IL31RA	interleukin 31 receptor A	133396
ENSMUSG00000057147	DPH6	diphthamine biosynthesis 6	89978
ENSMUSG00000061028	CLASRP	CLK4 associating serine/arginine rich protein	11129
ENSMUSG00000046242	NME9	NME/NM23 family member 9	347736
ENSMUSG00000051989	SMIM11A	small integral membrane protein 11A	54065
ENSMUSG00000058188	OR11H7	olfactory receptor family 11 subfamily H member 7 (gene/pseudogene)	390441
ENSMUSG00000049555	TMIE	transmembrane inner ear	259236
ENSMUSG00000078721	FAM205A	family with sequence similarity 205 member A	259308
ENSMUSG00000033033	CALHM2	calcium homeostasis modulator 2	51063
ENSMUSG00000062691	CEBPZOS	CEBPZ opposite strand	100505876
ENSMUSG00000046410	KCNK6	potassium two pore domain channel subfamily K member 6	9424
ENSMUSG00000055197	FEV	FEV, ETS transcription factor	54738
ENSMUSG00000028487	BNC2	basonuclin 2	54796
ENSMUSG00000017453	PIPOX	pipecolic acid and sarcosine oxidase	51268
ENSMUSG00000021725	PARP8	poly(ADP-ribose) polymerase family member 8	79668
ENSMUSG00000010476	EBF3	early B-cell factor 3	253738
ENSMUSG00000002222	RMND5A	required for meiotic nuclear division 5 homolog A	64795
ENSMUSG00000018651	TADA2A	transcriptional adaptor 2A	6871
ENSMUSG00000030800	PRSS8	protease, serine 8	5652
ENSMUSG00000040276	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	29993
ENSMUSG00000031377	BMX	BMX non-receptor tyrosine kinase	660
ENSMUSG00000030084	PLXNA1	plexin A1	5361
ENSMUSG00000003421	NOSIP	nitric oxide synthase interacting protein	51070
ENSMUSG00000033578	TMEM35A	transmembrane protein 35A	59353
ENSMUSG00000058392	RRP1B	ribosomal RNA processing 1B	23076
ENSMUSG00000049409	PROKR1	prokineticin receptor 1	na
ENSMUSG00000094439	IFFO2	intermediate filament family orphan 2	126917
ENSMUSG00000047976	KCNA1	potassium voltage-gated channel subfamily A member 1	3736
ENSMUSG00000036921	TEX46	testis expressed 46	729059
ENSMUSG00000068758	IL3RA	interleukin 3 receptor subunit alpha	3563
ENSMUSG00000032463	FAIM	Fas apoptotic inhibitory molecule	55179
ENSMUSG00000032346	OOEP	oocyte expressed protein	441161
ENSMUSG00000072494	PPP1R3E	protein phosphatase 1 regulatory subunit 3E	90673
ENSMUSG00000031257	NOX1	NADPH oxidase 1	27035
ENSMUSG00000031827	COTL1	coactosin like F-actin binding protein 1	23406
ENSMUSG00000021546	HNRNPK	heterogeneous nuclear ribonucleoprotein K	3190
ENSMUSG00000074227	SPINT2	serine peptidase inhibitor, Kunitz type 2	10653
ENSMUSG00000020458	RTN4	reticulon 4	57142
ENSMUSG00000059325	HOPX	HOP homeobox	84525
ENSMUSG00000031154	OTUD5	OTU deubiquitinase 5	55593
ENSMUSG00000062128	OR1E1	olfactory receptor family 1 subfamily E member 1	8387
ENSMUSG00000060579	FHIT	fragile histidine triad	2272
ENSMUSG00000050296	ABCA12	ATP binding cassette subfamily A member 12	26154
ENSMUSG00000050808	MUC15	mucin 15, cell surface associated	143662
ENSMUSG00000015846	RXRA	retinoid X receptor alpha	6256
ENSMUSG00000004791	PGF	placental growth factor	5228
ENSMUSG00000022787	WDR53	WD repeat domain 53	348793
ENSMUSG00000028681	PTCH2	patched 2	8643
ENSMUSG00000062963	UFC1	ubiquitin-fold modifier conjugating enzyme 1	51506
ENSMUSG00000070983	OR13D1	olfactory receptor family 13 subfamily D member 1	286365
ENSMUSG00000054976	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	57624
ENSMUSG00000038840	BIRC7	baculoviral IAP repeat containing 7	79444
ENSMUSG00000028357	KIF12	kinesin family member 12	113220
ENSMUSG00000041798	GCK	glucokinase	2645
ENSMUSG00000054321	TAF4B	TATA-box binding protein associated factor 4b	6875
ENSMUSG00000070713	HMGN4	high mobility group nucleosomal binding domain 4	10473
ENSMUSG00000113262	DOHH	deoxyhypusine hydroxylase	83475
ENSMUSG00000047371	ZNF768	zinc finger protein 768	79724
ENSMUSG00000017493	IGFBP4	insulin like growth factor binding protein 4	3487
ENSMUSG00000036062	PHF24	PHD finger protein 24	23349
ENSMUSG00000005371	FBXO11	F-box protein 11	80204
ENSMUSG00000003031	CDKN1B	cyclin dependent kinase inhibitor 1B	1027
ENSMUSG00000042275	PELO	pelota homolog (Drosophila)	53918
ENSMUSG00000026051	C2orf40	chromosome 2 open reading frame 40	84417
ENSMUSG00000038143	STOX2	storkhead box 2	56977
ENSMUSG00000055053	NFIC	nuclear factor I C	4782
ENSMUSG00000028057	RIT1	Ras like without CAAX 1	6016
ENSMUSG00000024070	PRKD3	protein kinase D3	23683
ENSMUSG00000028098	RNF115	ring finger protein 115	27246
ENSMUSG00000024232	BAMBI	BMP and activin membrane bound inhibitor	25805
ENSMUSG00000023952	GTPBP2	GTP binding protein 2	54676
ENSMUSG00000034656	CACNA1A	calcium voltage-gated channel subunit alpha1 A	773
ENSMUSG00000031813	MVB12A	multivesicular body subunit 12A	93343
ENSMUSG00000000708	KAT2B	lysine acetyltransferase 2B	8850
ENSMUSG00000055322	TNS1	tensin 1	7145
ENSMUSG00000023931	EFHB	EF-hand domain family member B	151651
ENSMUSG00000010154	SPIRE2	spire type actin nucleation factor 2	84501
ENSMUSG00000052372	IL1RAPL1	interleukin 1 receptor accessory protein like 1	11141
ENSMUSG00000053470	KDM3A	lysine demethylase 3A	55818
ENSMUSG00000091649	PHF11	PHD finger protein 11	51131
ENSMUSG00000022023	WBP4	WW domain binding protein 4	11193
ENSMUSG00000040511	PVR	poliovirus receptor	5817
ENSMUSG00000051185	FAM174A	family with sequence similarity 174 member A	345757
ENSMUSG00000051593	OR13C8	olfactory receptor family 13 subfamily C member 8	138802
ENSMUSG00000032718	MANSC1	MANSC domain containing 1	54682
ENSMUSG00000047613	C1orf174	chromosome 1 open reading frame 174	339448
ENSMUSG00000072571	TMEM253	transmembrane protein 253	643382
ENSMUSG00000056692	C6orf106	chromosome 6 open reading frame 106	64771
ENSMUSG00000028972	CA6	carbonic anhydrase 6	765
ENSMUSG00000034311	KIF4A	kinesin family member 4A	24137
ENSMUSG00000019923	ZWINT	ZW10 interacting kinetochore protein	11130
ENSMUSG00000090881	PHF11	PHD finger protein 11	51131
ENSMUSG00000037548	HLA-DMB	major histocompatibility complex, class II, DM beta	3109
ENSMUSG00000055612	CDCA7	cell division cycle associated 7	83879
ENSMUSG00000030247	KCNJ8	potassium voltage-gated channel subfamily J member 8	3764
ENSMUSG00000002458	RGS19	regulator of G protein signaling 19	10287
ENSMUSG00000053886	SH2D4A	SH2 domain containing 4A	63898
ENSMUSG00000057899	ADGRF2	adhesion G protein-coupled receptor F2	222611
ENSMUSG00000048387	OSR1	odd-skipped related transciption factor 1	130497
ENSMUSG00000048752	PRSS50	protease, serine 50	na
ENSMUSG00000031290	LRCH2	leucine rich repeats and calponin homology domain containing 2	57631
ENSMUSG00000042302	EHBP1	EH domain binding protein 1	23301
ENSMUSG00000058275	OR1D5	olfactory receptor family 1 subfamily D member 5	8386
ENSMUSG00000039756	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	30836
ENSMUSG00000069206	ZNF720	zinc finger protein 720	124411
ENSMUSG00000053025	SV2B	synaptic vesicle glycoprotein 2B	9899
ENSMUSG00000049648	OR13C3	olfactory receptor family 13 subfamily C member 3	138803
ENSMUSG00000035042	CCL5	C-C motif chemokine ligand 5	6352
ENSMUSG00000029660	TEX26	testis expressed 26	122046
ENSMUSG00000001120	PCBP3	poly(rC) binding protein 3	54039
ENSMUSG00000000530	ACVRL1	activin A receptor like type 1	94
ENSMUSG00000059657	CSTA	cystatin A	1475
ENSMUSG00000036291	AP5M1	adaptor related protein complex 5 mu 1 subunit	55745
ENSMUSG00000064293	CNTN4	contactin 4	152330
ENSMUSG00000024082	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	55471
ENSMUSG00000048251	BCL11B	B-cell CLL/lymphoma 11B	64919
ENSMUSG00000027967	NEUROG2	neurogenin 2	63973
ENSMUSG00000024269	TPGS2	tubulin polyglutamylase complex subunit 2	25941
ENSMUSG00000073771	BTBD19	BTB domain containing 19	149478
ENSMUSG00000051111	SV2C	synaptic vesicle glycoprotein 2C	22987
ENSMUSG00000029484	ANXA3	annexin A3	306
ENSMUSG00000042446	ZMYM4	zinc finger MYM-type containing 4	9202
ENSMUSG00000020453	PATZ1	POZ/BTB and AT hook containing zinc finger 1	23598
ENSMUSG00000001403	UBE2C	ubiquitin conjugating enzyme E2 C	11065
ENSMUSG00000071005	CCL19	C-C motif chemokine ligand 19	6363
ENSMUSG00000034923	LY6G6F	lymphocyte antigen 6 family member G6F	259215
ENSMUSG00000003308	KEAP1	kelch like ECH associated protein 1	9817
ENSMUSG00000029161	CGREF1	cell growth regulator with EF-hand domain 1	10669
ENSMUSG00000022094	SLC39A14	solute carrier family 39 member 14	23516
ENSMUSG00000060224	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2	84795
ENSMUSG00000022702	HIRA	histone cell cycle regulator	7290
ENSMUSG00000029576	RADIL	Rap associating with DIL domain	55698
ENSMUSG00000025185	LOXL4	lysyl oxidase like 4	84171
ENSMUSG00000020460	RPS27A	ribosomal protein S27a	6233
ENSMUSG00000091601	OR2H1	olfactory receptor family 2 subfamily H member 1	26716
ENSMUSG00000021366	HIVEP1	human immunodeficiency virus type I enhancer binding protein 1	3096
ENSMUSG00000031660	BRD7	bromodomain containing 7	29117
ENSMUSG00000024096	RALBP1	ralA binding protein 1	10928
ENSMUSG00000068732	TMEM167B	transmembrane protein 167B	56900
ENSMUSG00000050605	AC245748.1		na
ENSMUSG00000025478	DPYSL4	dihydropyrimidinase like 4	10570
ENSMUSG00000034442	TRMT5	tRNA methyltransferase 5	57570
ENSMUSG00000049658	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	55814
ENSMUSG00000020955	AP4S1	adaptor related protein complex 4 sigma 1 subunit	11154
ENSMUSG00000030609	AEN	apoptosis enhancing nuclease	64782
ENSMUSG00000033323	CTDP1	CTD phosphatase subunit 1	9150
ENSMUSG00000024151	MSH2	mutS homolog 2	4436
ENSMUSG00000047225	OR56A4	olfactory receptor family 56 subfamily A member 4	120793
ENSMUSG00000035371	SSX7	SSX family member 7	280658
ENSMUSG00000043972	OPN5	opsin 5	221391
ENSMUSG00000025358	CDK2	cyclin dependent kinase 2	1017
ENSMUSG00000027404	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1	6628
ENSMUSG00000023018	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	6602
ENSMUSG00000063975	SLCO1A2	solute carrier organic anion transporter family member 1A2	6579
ENSMUSG00000035476	TAB3	TGF-beta activated kinase 1 and MAP3K7 binding protein 3	257397
ENSMUSG00000017478	ZC3H18	zinc finger CCCH-type containing 18	124245
ENSMUSG00000035776	CD99L2	CD99 molecule like 2	83692
ENSMUSG00000026077	NPAS2	neuronal PAS domain protein 2	4862
ENSMUSG00000074139	PLSCR2	phospholipid scramblase 2	57047
ENSMUSG00000072934	TRPC5OS	TRPC5 opposite strand	100329135
ENSMUSG00000025056	NR0B1	nuclear receptor subfamily 0 group B member 1	190
ENSMUSG00000071112	SPX	spexin hormone	80763
ENSMUSG00000054940	OR2J1	olfactory receptor family 2 subfamily J member 1 (gene/pseudogene)	442185
ENSMUSG00000006403	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	9507
ENSMUSG00000003038	HMGN4	high mobility group nucleosomal binding domain 4	10473
ENSMUSG00000047284	NEURL4	neuralized E3 ubiquitin protein ligase 4	84461
ENSMUSG00000021097	CLMN	calmin	79789
ENSMUSG00000041945	MFSD9	major facilitator superfamily domain containing 9	84804
ENSMUSG00000047155	CYP4X1	cytochrome P450 family 4 subfamily X member 1	260293
ENSMUSG00000026196	BARD1	BRCA1 associated RING domain 1	580
ENSMUSG00000022112	GPC5	glypican 5	2262
ENSMUSG00000025403	SHMT2	serine hydroxymethyltransferase 2	6472
ENSMUSG00000067597	DGAT2L6	diacylglycerol O-acyltransferase 2 like 6	347516
ENSMUSG00000078515	RSC1A1	regulator of solute carriers 1	6248
ENSMUSG00000032952	AP4B1	adaptor related protein complex 4 beta 1 subunit	10717
ENSMUSG00000009654	OIT3	oncoprotein induced transcript 3	170392
ENSMUSG00000062226	DPPA5	developmental pluripotency associated 5	340168
ENSMUSG00000051373	PLPP7	phospholipid phosphatase 7 (inactive)	84814
ENSMUSG00000047694	YIPF6	Yip1 domain family member 6	286451
ENSMUSG00000000706	BTN1A1	butyrophilin subfamily 1 member A1	696
ENSMUSG00000028976	SLC2A5	solute carrier family 2 member 5	6518
ENSMUSG00000073907	OR56B4	olfactory receptor family 56 subfamily B member 4	196335
ENSMUSG00000027953	SLC50A1	solute carrier family 50 member 1	55974
ENSMUSG00000021809	NUDT13	nudix hydrolase 13	25961
ENSMUSG00000016833	MRPS18C	mitochondrial ribosomal protein S18C	51023
ENSMUSG00000027317	PPP1R14D	protein phosphatase 1 regulatory inhibitor subunit 14D	54866
ENSMUSG00000033610	PANK1	pantothenate kinase 1	53354
ENSMUSG00000024304	CDH2	cadherin 2	1000
ENSMUSG00000015337	ENDOG	endonuclease G	2021
ENSMUSG00000091144	PHF11	PHD finger protein 11	51131
ENSMUSG00000000399	AC005833.3		na
ENSMUSG00000022763	AIFM3	apoptosis inducing factor, mitochondria associated 3	150209
ENSMUSG00000070291	DDX43	DEAD-box helicase 43	55510
ENSMUSG00000028059	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	9181
ENSMUSG00000027338	PRND	prion like protein doppel	23627
ENSMUSG00000038371	SBF2	SET binding factor 2	81846
ENSMUSG00000056493	FOXK1	forkhead box K1	221937
ENSMUSG00000022972	AP000275.2		na
ENSMUSG00000037020	WDR62	WD repeat domain 62	284403
ENSMUSG00000036770	STPG3	sperm-tail PG-rich repeat containing 3	441476
ENSMUSG00000036768	KIF15	kinesin family member 15	56992
ENSMUSG00000055707	KLHL26	kelch like family member 26	55295
ENSMUSG00000078249	HMGA1	high mobility group AT-hook 1	3159
ENSMUSG00000027339	RASSF2	Ras association domain family member 2	9770
ENSMUSG00000028712	CYP4A11	cytochrome P450 family 4 subfamily A member 11	1579
ENSMUSG00000000823	ZNF512B	zinc finger protein 512B	57473
ENSMUSG00000022661	CD200	CD200 molecule	4345
ENSMUSG00000051728	C21orf140	chromosome 21 open reading frame 140	101928147
ENSMUSG00000051726	KCNF1	potassium voltage-gated channel modifier subfamily F member 1	3754
ENSMUSG00000032179	BMP5	bone morphogenetic protein 5	653
ENSMUSG00000036376	ABT1	activator of basal transcription 1	29777
ENSMUSG00000058388	PHTF1	putative homeodomain transcription factor 1	10745
ENSMUSG00000061984	OR1E1	olfactory receptor family 1 subfamily E member 1	8387
ENSMUSG00000069823	OR1E1	olfactory receptor family 1 subfamily E member 1	8387
ENSMUSG00000022132	CLDN10	claudin 10	9071
ENSMUSG00000036006	RIPOR2	RHO family interacting cell polarization regulator 2	9750
ENSMUSG00000020325	FSTL3	follistatin like 3	10272
ENSMUSG00000079426	ARPC4	actin related protein 2/3 complex subunit 4	10093
ENSMUSG00000079597	CSTA	cystatin A	1475
ENSMUSG00000029659	MEDAG	mesenteric estrogen dependent adipogenesis	84935
ENSMUSG00000018160	MED1	mediator complex subunit 1	5469
ENSMUSG00000046223	PLAUR	plasminogen activator, urokinase receptor	5329
ENSMUSG00000021770	SAMD8	sterile alpha motif domain containing 8	142891
ENSMUSG00000027650	TTI1	TELO2 interacting protein 1	9675
ENSMUSG00000013973	DEDD	death effector domain containing	9191
ENSMUSG00000038069	CDKN2AIP	CDKN2A interacting protein	55602
ENSMUSG00000006517	MVD	mevalonate diphosphate decarboxylase	4597
ENSMUSG00000002820	ATG4D	autophagy related 4D cysteine peptidase	84971
ENSMUSG00000030946	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	64077
ENSMUSG00000021794	GLUD2	glutamate dehydrogenase 2	2747
ENSMUSG00000036282	NAA30	N(alpha)-acetyltransferase 30, NatC catalytic subunit	122830
ENSMUSG00000095207	FAM205A	family with sequence similarity 205 member A	259308
ENSMUSG00000041298	KATNAL1	katanin catalytic subunit A1 like 1	84056
ENSMUSG00000020471	POLD2	DNA polymerase delta 2, accessory subunit	5425
ENSMUSG00000034336	INA	internexin neuronal intermediate filament protein alpha	9118
ENSMUSG00000029054	GABRD	gamma-aminobutyric acid type A receptor delta subunit	2563
ENSMUSG00000006717	ACOT13	acyl-CoA thioesterase 13	55856
ENSMUSG00000020895	TMEM107	transmembrane protein 107	84314
ENSMUSG00000032344	MB21D1	Mab-21 domain containing 1	115004
ENSMUSG00000036036	ZFP57	ZFP57 zinc finger protein	346171
ENSMUSG00000054932	AFP	alpha fetoprotein	174
ENSMUSG00000038943	PRC1	protein regulator of cytokinesis 1	9055
ENSMUSG00000043496	TRIL	TLR4 interactor with leucine rich repeats	9865
ENSMUSG00000021732	FGF10	fibroblast growth factor 10	2255
ENSMUSG00000027797	DCLK1	doublecortin like kinase 1	9201
ENSMUSG00000091080	PRR23B	proline rich 23B	389151
ENSMUSG00000032583	MON1A	MON1 homolog A, secretory trafficking associated	84315
ENSMUSG00000055980	IRS1	insulin receptor substrate 1	3667
ENSMUSG00000043948	OR52B2	olfactory receptor family 52 subfamily B member 2	255725
ENSMUSG00000051885	OR52N1	olfactory receptor family 52 subfamily N member 1	79473
ENSMUSG00000066877	NCK2	NCK adaptor protein 2	8440
ENSMUSG00000096237	FAM205A	family with sequence similarity 205 member A	259308
ENSMUSG00000093938	EVI2B	ecotropic viral integration site 2B	2124
ENSMUSG00000039831	ARHGAP29	Rho GTPase activating protein 29	9411
ENSMUSG00000058979	HDHD5	haloacid dehalogenase like hydrolase domain containing 5	27440
ENSMUSG00000040282	C15orf41	chromosome 15 open reading frame 41	84529
ENSMUSG00000028521	SLC35D1	solute carrier family 35 member D1	23169
ENSMUSG00000028072	NTRK1	neurotrophic receptor tyrosine kinase 1	4914
ENSMUSG00000014686	CEACAM16	carcinoembryonic antigen related cell adhesion molecule 16	388551
ENSMUSG00000007610	GTPBP3	GTP binding protein 3 (mitochondrial)	84705
ENSMUSG00000091844	CCDC168	coiled-coil domain containing 168	643677
ENSMUSG00000027965	OLFM3	olfactomedin 3	118427
ENSMUSG00000020225	TMBIM4	transmembrane BAX inhibitor motif containing 4	51643
ENSMUSG00000049122	FRMD3	FERM domain containing 3	257019
ENSMUSG00000031400	G6PD	glucose-6-phosphate dehydrogenase	2539
ENSMUSG00000020622	NT5C1B	5'-nucleotidase, cytosolic IB	93034
ENSMUSG00000070382	OR1E1	olfactory receptor family 1 subfamily E member 1	8387
ENSMUSG00000040181	FMO1	flavin containing monooxygenase 1	2326
ENSMUSG00000050505	AL592490.1		64881
ENSMUSG00000022217	EMC9	ER membrane protein complex subunit 9	51016
ENSMUSG00000021108	PRKCH	protein kinase C eta	5583
ENSMUSG00000022200	GOLPH3	golgi phosphoprotein 3	64083
